epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,1109.65,0.63709,1.20676,0.7529,0.8791,0.42451,0.17659,0.20334,0.16716,0.41724,0.17607,0.20073,0.1579,1.07191,2.16005,2.86305,1.10211,9.25341e-05,9.25341e-05,9.25341e-05
93,1121.58,0.61841,1.16255,0.7155,0.87235,0.4432,0.18871,0.20132,0.16771,0.44083,0.18925,0.2016,0.1612,1.07841,2.10321,2.84595,1.11094,9.12934e-05,9.12934e-05,9.12934e-05
94,1133.48,0.64447,1.16781,0.74905,0.88208,0.3841,0.19012,0.20749,0.16991,0.5452,0.16783,0.20603,0.1645,1.0792,2.13965,2.82387,1.11976,9.00503e-05,9.00503e-05,9.00503e-05
95,1145.46,0.63335,1.18221,0.74833,0.88062,0.41956,0.19672,0.2201,0.18076,0.41999,0.19684,0.21826,0.17065,1.08163,2.13622,2.75923,1.11618,8.8805e-05,8.8805e-05,8.8805e-05
96,1157.67,0.63318,1.14688,0.72712,0.87822,0.40622,0.19807,0.2203,0.18331,0.40505,0.19749,0.21725,0.16995,1.08377,2.13462,2.77766,1.11454,8.75578e-05,8.75578e-05,8.75578e-05
97,1169.66,0.63394,1.18833,0.75425,0.88053,0.49831,0.17433,0.1981,0.16433,0.36168,0.21889,0.19643,0.15379,1.07283,2.17312,2.87064,1.11987,8.63091e-05,8.63091e-05,8.63091e-05
98,1181.66,0.63691,1.17402,0.7599,0.87864,0.38599,0.21224,0.20134,0.16816,0.38086,0.20995,0.1973,0.1579,1.08874,2.10608,2.88645,1.13005,8.50591e-05,8.50591e-05,8.50591e-05
99,1193.65,0.6361,1.16566,0.74728,0.87414,0.47446,0.20205,0.21128,0.17561,0.47022,0.20029,0.20723,0.16124,1.06437,2.10969,2.81827,1.11595,8.38083e-05,8.38083e-05,8.38083e-05
100,1205.45,0.6578,1.20335,0.77063,0.88962,0.23672,0.25285,0.20736,0.17439,0.23373,0.24922,0.20356,0.16245,1.06895,2.15267,2.8286,1.11253,8.25568e-05,8.25568e-05,8.25568e-05
101,1217.5,0.6262,1.17299,0.71449,0.88301,0.28759,0.24203,0.20777,0.17082,0.28603,0.24048,0.20344,0.16257,1.08274,2.18266,2.84597,1.12711,8.1305e-05,8.1305e-05,8.1305e-05
102,1229.46,0.65317,1.21278,0.76717,0.87757,0.37281,0.23201,0.21603,0.18047,0.35318,0.23643,0.21397,0.16772,1.07338,2.14958,2.82776,1.11827,8.00532e-05,8.00532e-05,8.00532e-05
103,1241.33,0.64073,1.19677,0.73554,0.87664,0.3387,0.25417,0.21138,0.17429,0.3376,0.25292,0.20858,0.16443,1.08072,2.1381,2.88039,1.12128,7.88017e-05,7.88017e-05,7.88017e-05
104,1253.25,0.64069,1.17258,0.74427,0.88041,0.45342,0.1841,0.20818,0.17657,0.45026,0.18388,0.20633,0.16474,1.0809,2.13779,2.91153,1.11676,7.75509e-05,7.75509e-05,7.75509e-05
105,1265.13,0.62585,1.13874,0.73913,0.88025,0.44307,0.20323,0.21234,0.17466,0.43636,0.2016,0.20963,0.16588,1.07397,2.11272,2.80803,1.10898,7.63009e-05,7.63009e-05,7.63009e-05
106,1277.05,0.63563,1.16205,0.73008,0.87755,0.4183,0.21592,0.19909,0.16091,0.41502,0.21613,0.19726,0.15179,1.08008,2.15604,2.84627,1.11852,7.50522e-05,7.50522e-05,7.50522e-05
107,1288.97,0.62591,1.14193,0.74864,0.8671,0.42931,0.21988,0.18757,0.14988,0.42717,0.21903,0.18459,0.13916,1.07692,2.16958,2.82266,1.11532,7.3805e-05,7.3805e-05,7.3805e-05
108,1300.85,0.62855,1.15273,0.73613,0.87632,0.47042,0.19343,0.21551,0.17899,0.46554,0.19192,0.21311,0.16614,1.07006,2.18014,2.82426,1.11,7.25597e-05,7.25597e-05,7.25597e-05
109,1312.89,0.62881,1.14247,0.72402,0.87707,0.3622,0.22867,0.20272,0.16874,0.36225,0.22935,0.20105,0.16036,1.06878,2.16272,2.81242,1.11281,7.13166e-05,7.13166e-05,7.13166e-05
110,1324.74,0.66018,1.19569,0.78691,0.89146,0.4254,0.2037,0.19793,0.16145,0.43372,0.20053,0.19526,0.15025,1.08444,2.13492,2.79119,1.11892,7.00759e-05,7.00759e-05,7.00759e-05
111,1336.64,0.6217,1.14075,0.7324,0.88115,0.41581,0.20885,0.20503,0.17299,0.41283,0.20695,0.20204,0.16112,1.0798,2.15762,2.82453,1.11433,6.8838e-05,6.8838e-05,6.8838e-05
112,1348.54,0.63585,1.21488,0.74861,0.88012,0.41175,0.22373,0.20548,0.17005,0.41124,0.22169,0.20048,0.15729,1.07355,2.16181,2.80941,1.11291,6.76031e-05,6.76031e-05,6.76031e-05
